book_id,book_title,genre_1,genre_2,pages,author_name,author_average_rating
461104,The Ascent of Man,Science,History,520,Jacob Bronowski,4.17
2141233,The Illustrated A Brief History of Time/The Universe in a Nutshell,Science,Nonfiction,464,Stephen Hawking,4.13
125286,The Beak of the Finch: A Story of Evolution in Our Time,Science,Nonfiction,332,Jonathan Weiner,4.08
10238,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,Science,Philosophy,366,Fritjof Capra,4.0
131304,Big Bang: The Origin of the Universe,Science,Nonfiction,560,Simon Singh,4.2
4005310,Why Evolution Is True,Science,Nonfiction,282,Jerry A. Coyne,4.16
123632,Man and His Symbols,Psychology,Nonfiction,432,Carl Jung,4.2
5552,QED: The Strange Theory of Light and Matter,Science,Science,158,Richard Feynman,4.26
2272880,The Drunkard's Walk: How Randomness Rules Our Lives,Nonfiction,Science,252,Leonard Mlodinow,4.05
2612,The Tipping Point: How Little Things Can Make a Big Difference,Nonfiction,Business,301,Malcolm Gladwell,3.98
11337189,A Universe from Nothing: Why There Is Something Rather Than Nothing,Science,Nonfiction,204,Lawrence M. Krauss,3.9
5752,The Blank Slate: The Modern Denial of Human Nature,Psychology,Science,528,Steven Pinker,4.03
3272165,Bad Science,Science,Nonfiction,338,Ben Goldacre,4.07
126061,The Double Helix,Science,Nonfiction,143,James D. Watson,3.88
21413662,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Nonfiction,Science,307,Randall Munroe,4.16
61539,The Structure of Scientific Revolutions,Science,Philosophy,226,Thomas S. Kuhn,4.0
1662160,Your Inner Fish: A Journey Into the 3.5-Billion-Year History of the Human Body,Science,Nonfiction,229,Neil Shubin,3.97
4591,Genome: the Autobiography of a Species in 23 Chapters,Science,Nonfiction,344,Matt Ridley,4.0
17153446,Dirty Little Secrets,Mystery,Romance,307,Liliana Hart,4.07
355919,Septimus Heap Box Set: Magyk and Flyte,Fantasy,Young-Adult,0,Angie Sage,3.99
8962,A Living Nightmare,Fantasy,Young-Adult,272,Darren Shan,4.18
442819,Goddess of the Night,Young-Adult,Fantasy,294,Lynne Ewing,3.94
5941233,Thirst No. 1: The Last Vampire Black Blood and Red Dice,Fantasy,Young-Adult,594,Christopher Pike,3.88
3567200,Moonlight,Young-Adult,Shapeshifters,263,Rachel Hawthorne,3.89
32974,Nancy Drew: #1-6 [Box Set],Mystery,Young-Adult,0,Carolyn Keene,3.91
