book_id,rating,number_of_likes
42291816,4,9
40518491,4,8
17200687,0,3
28233502,0,12
445623,3,55
15808474,0,60
13459619,4,70
11168429,1,9
1096334,2,30
9454,2,41
12398719,5,26
129343,4,55
13455513,1,58
18213325,1,59
12930,5,4
251052,3,85
17451462,4,21
236557,2,72
181086,5,53
19015943,4,3
23311216,0,16
21899751,2,87
12578077,3,14
1594220,4,18
28762290,1,92
87526,4,19
25893709,4,1
17790459,5,93
445937,5,17
40516973,1,25
17994785,3,15
10430633,5,66
12361115,3,2
14568987,1,18
7153488,4,20
40541901,5,9
241969,0,15
6334523,5,47
128495,4,96
535856,2,1
42110093,1,71
18627958,4,26
177289,2,10
13270,4,79
4606446,1,16
763331,4,91
161037,0,28
29603273,3,15
14915175,0,60
33413919,0,46
36555292,5,14
12498527,0,6
6357994,4,67
54218,2,59
124430,1,15
2265,5,82
166123,3,35
15795549,3,90
37509275,2,6
22691308,0,23
64175,5,54
2785115,2,74
23203977,2,33
2277444,4,66
190372,3,9
18335673,4,25
22080473,5,5
15732001,3,6
123843,5,56
26029821,1,13
27409882,4,30
75639,5,65
18740851,3,85
17266406,1,10
1832749,4,22
15954544,3,91
84151,5,17
25065,1,1
179033,4,82
6352576,4,79
9536655,4,13
17573665,2,20
35721089,4,61
22836575,3,4
461979,2,17
23657017,3,34
6605685,1,39
8646223,1,4
15720119,1,14
25813771,1,92
16292266,2,52
337116,4,13
25400927,5,34
9536655,4,3
1828067,1,68
1372693,4,11
17936834,2,16
13287544,0,13
19083232,1,8
659600,3,62
8675320,1,93
36458552,1,8
22912916,3,31
6114600,1,26
16159818,1,87
7748,5,100
227593,1,26
22103866,5,37
25330014,4,90
6293934,0,100
6438710,1,42
18042532,1,10
28010254,0,8
72286,0,16
11720964,2,18
3873353,3,16
20402750,5,95
4772389,0,40
43330,2,17
9435474,2,3
1051622,3,90
11557282,5,52
12388481,2,1
55018,0,2
3921832,0,10
118413,0,65
14761679,3,16
13090675,4,12
2342943,1,83
15724704,4,4
3133562,2,10
281433,4,71
40985,0,34
7422957,1,39
9992246,3,28
6329547,4,49
18170925,5,89
40658159,3,17
13085696,5,12
25772853,3,15
193897,3,18
114950,0,57
31447601,2,13
21399149,3,5
26832111,4,5
6962800,2,3
811241,3,16
24890845,5,98
9673577,2,20
9269901,1,76
2553575,1,59
18166117,3,17
25978892,0,70
123632,1,13
18214414,3,7
18760474,0,19
611327,3,64
15739201,5,18
34933630,5,17
25320,0,81
529701,5,39
31423551,4,17
18812737,0,32
397756,1,72
388793,0,32
12035966,2,84
106096,1,12
15844032,0,44
42146,2,55
251996,4,3
18939591,5,92
514811,4,8
34530776,5,78
20805925,0,73
102066,4,49
16211502,0,17
248632,0,90
10626639,4,18
16162405,4,10
25437747,2,12
36208823,4,8
23202149,4,89
7089852,4,65
13562334,3,3
36411984,0,18
409901,0,6
17728,2,4
12994855,5,5
5597641,2,18
25876779,5,7
39353216,1,82
178196,4,17
12681111,0,98
36497618,4,76
32941909,5,41
18213325,2,63
416775,1,13
12349615,1,68
65349,0,16
9015663,4,26
1991184,2,62
9653087,0,96
18286192,2,65
80455,3,33
21880559,3,14
125190,0,2
18223050,0,15
15812770,2,93
7314887,2,36
18669536,4,83
25817466,1,40
13597879,0,32
7519640,3,12
13622702,1,11
15701217,2,10
32927239,1,90
17934427,2,4
36204669,5,13
50750,5,9
19453849,1,90
18362750,1,18
22992,4,24
6609864,1,33
11523680,1,12
12512051,0,97
30220,0,62
7685251,2,74
36064504,3,27
709812,3,2
11127,1,44
625846,0,55
25350047,3,16
23002593,3,29
6778365,1,0
18603661,5,79
15898745,1,60
358489,4,7
26800718,2,7
7884969,2,78
6892870,3,71
1047162,3,1
12796866,0,12
12392657,4,99
7325537,4,1
222773,0,39
10626540,0,34
17193763,2,0
3860977,5,1
3511318,2,4
148040,3,36
22714908,5,6
25935094,3,5
13334117,5,67
18652645,1,13
7717531,1,2
11887020,4,91
201104,0,2
303214,1,8
16043793,0,75
16132873,0,7
17731804,0,65
393157,3,82
33968767,1,0
23981002,0,85
18759930,3,56
187020,5,78
29858242,2,42
2785752,0,16
11041148,1,69
8262461,5,57
3860977,5,74
12888599,1,7
17317995,0,50
12074927,1,83
36334133,0,1
34051049,1,12
15015228,5,9
9887165,5,84
18775475,1,60
185117,4,78
17910573,1,45
724994,4,8
17860217,3,3
76740,2,92
25751572,1,71
17912177,4,0
8274982,4,72
24911974,4,41
4313522,5,4
23114976,5,89
12645010,0,90
179735,0,83
17184930,5,16
18210070,5,20
25391336,3,47
13088324,0,11
269860,0,36
8434205,5,0
20946280,1,0
1325218,3,84
3437465,0,52
79,2,4
18806259,0,96
9541241,5,72
836301,3,6
17981536,3,43
18114102,3,11
60926,3,34
24980201,0,6
18773488,0,80
9597,0,52
18715583,0,2
3409937,4,16
13542840,2,60
8167094,0,3
21793687,5,19
25733990,0,29
12971678,5,60
17524166,3,14
27883214,4,3
17262144,0,10
22522296,5,17
15793154,1,35
51737,0,13
7844725,2,68
9014,1,0
70561,2,79
15783386,1,6
22840182,4,56
905092,1,100
21469952,0,87
468657,3,3
6290240,5,64
17702579,2,88
83017,4,64
13127599,1,18
13484064,4,10
10055,0,14
16248078,4,54
16067691,4,13
21857294,1,50
374668,5,5
13375237,4,18
828015,4,12
656,3,62
2981660,4,96
17861528,1,12
30268522,1,84
30680,5,96
486004,0,38
543873,0,12
5752,2,45
161361,5,13
22609378,0,49
64105,1,69
8039386,4,11
63827,3,62
3430693,2,18
12996,4,71
6480781,1,20
116447,1,2
2824337,1,68
304079,3,17
8143995,4,63
18107882,4,90
237646,4,10
41962,2,90
39692,0,7
722251,0,7
27208482,4,3
2847610,3,15
17233444,3,91
1022209,2,40
29486,2,99
18599748,1,12
408615,3,97
29751533,3,31
6726922,3,73
17928233,3,59
17790646,4,8
411053,1,40
281693,3,89
15998621,2,45
1898882,1,66
32148570,4,15
6587387,1,11
39692,1,2
31450913,4,5
29291,0,36
35795906,3,6
17413222,3,42
24157427,5,69
51167,1,5
30332253,2,64
18166117,2,10
21032488,5,18
9413044,5,20
51190,5,44
31423551,2,9
22544042,5,71
25756328,0,3
9694866,5,6
22980034,3,3
12392657,2,21
18231545,5,12
258568,5,6
15954434,1,13
36484081,2,17
8432181,2,24
25867265,5,95
27274326,3,80
26262230,1,69
22365476,4,83
232431,1,42
63832,4,88
36130453,3,5
21825486,0,9
30858,2,13
162954,2,20
23013875,0,2
3761596,2,8
17350825,3,94
6547171,5,17
19045228,1,9
13986,2,62
17331403,3,23
821056,1,85
41581171,5,3
20409841,3,29
13112023,3,20
15814452,3,20
1264115,2,0
50848,0,67
13049981,2,63
16031258,4,17
5359,0,11
23197209,4,9
29481185,0,32
79936,4,0
145984,4,38
10629679,3,70
24612118,3,60
18372675,3,10
43401,4,37
14287,5,28
18116,5,15
419409,4,39
29215777,0,1
10626639,4,14
13644209,5,77
59974,3,37
139087,3,46
9999,0,49
20428638,0,88
508666,0,62
17789633,1,23
41209130,4,1
7631105,2,23
29638166,3,33
43663613,1,6
22074044,3,61
75503,5,84
30312779,4,7
13090675,2,86
40490167,5,6
18747058,3,24
107430,1,98
33313726,5,0
80455,4,89
11038479,1,13
9915,5,38
17369323,0,5
25898723,2,0
145356,2,64
42859161,1,89
13152,2,77
134353,5,9
1193177,2,47
151926,0,1
93273,1,20
67464,0,68
18782855,4,9
345660,5,13
6314763,5,84
5266655,2,93
17928233,0,10
158010,3,64
185636,3,44
31123268,4,16
16069154,5,60
17315933,0,76
15241,3,21
18757554,5,72
3348007,0,40
7823038,3,33
32051720,1,68
7031827,3,5
63504,3,49
33158544,5,25
25135802,3,65
707667,2,0
39836158,3,92
28735,3,59
11787563,0,5
18516005,0,8
18400944,0,58
759776,5,12
13364202,1,2
45685,1,4
38338238,0,56
30037277,0,70
22972067,2,97
77449,1,42
19192335,2,36
18484371,4,25
26192646,0,53
24472,3,93
89959,4,1
16142053,2,22
13455151,5,28
38493159,4,91
582675,0,31
175591,2,5
538238,5,83
16133025,3,7
23898456,0,63
820447,1,73
5454,2,56
13037817,3,54
40493667,1,15
12925365,1,14
991544,1,2
17670231,2,72
8419428,1,14
6003964,4,14
10302,1,6
7853757,3,65
9738582,3,44
17998474,3,11
11265184,3,33
5451,0,58
12781027,2,9
18850688,2,20
20729810,3,81
3551100,4,33
13502238,1,65
676237,4,82
498082,0,8
4362,5,2
187020,1,45
241387,0,2
29414576,5,75
8779896,0,31
32565675,0,37
17258541,5,19
709812,4,65
18516961,5,11
2023774,0,16
6239010,1,62
818867,3,53
20696006,2,74
11519723,3,20
1225621,3,39
10485751,1,20
18167468,5,4
12959266,2,11
6449802,2,81
23899174,5,18
33362126,2,1
1003761,1,53
34020742,4,10
8934126,2,8
7893331,2,36
30334183,3,61
64105,0,10
18545084,3,37
13548152,3,18
23657017,4,71
23850929,1,76
22618173,1,15
41014762,5,93
240373,4,0
94336,0,16
24953051,4,2
35553325,5,16
12899734,4,19
223394,3,61
17934498,0,3
25079723,4,86
17437203,0,53
24040154,2,62
6050678,1,2
1003464,3,27
18719485,5,10
13630618,1,97
25110927,0,57
20542660,3,20
10700326,4,50
12670968,2,67
1337751,3,75
714569,1,27
7504179,4,69
22205,5,20
11517874,1,4
38099642,5,3
12109310,5,97
196549,0,5
173233,1,20
369672,5,58
1098486,3,7
18873923,3,29
13412960,3,3
27421270,2,81
12437943,3,36
11071466,3,19
17974456,5,35
28660,3,51
15797693,3,17
4345290,3,5
20342133,0,10
38456738,0,54
18680106,4,26
9470293,5,80
32801711,0,3
6423507,2,9
7875327,1,19
16176440,1,3
618924,3,25
229033,5,22
12160890,0,8
13642950,1,18
139254,3,60
16107839,0,16
3873328,0,10
1547026,3,1
23559670,0,28
35810539,5,98
7160178,4,95
25463009,2,9
297226,1,12
13568249,0,54
2905807,4,62
9993725,5,17
13403051,1,13
264946,4,19
18244432,1,15
108305,2,76
17208048,5,12
25791216,2,75
5287473,4,51
6386041,0,86
22060845,3,44
13356190,5,11
33401177,2,35
177866,1,6
230852,4,78
1184484,5,84
18078559,5,9
18714023,2,79
65297,0,24
15810914,4,3
13540215,3,18
18131745,3,16
770614,1,25
403722,2,54
50376,1,6
7039218,2,9
2041412,4,18
2392599,3,91
22368622,3,13
34845079,3,50
50144,1,9
22879172,5,30
41637836,2,6
18588998,4,28
587638,2,46
24955343,5,30
2208499,2,6
40940631,3,6
17568768,4,97
42674626,2,0
21403041,1,3
25817466,3,13
25452847,0,13
8116805,4,7
209889,3,100
5941233,0,3
6871617,2,78
421549,2,15
409967,2,28
12287209,0,16
13108146,4,13
39993898,0,55
165395,1,97
17729340,3,10
352724,2,18
15758643,2,97
1073750,4,65
529701,3,39
19460287,3,62
590552,3,41
32171947,0,20
3130938,4,85
80642,4,100
37883561,1,68
57950,1,40
16103970,1,49
18138755,5,19
18071032,0,45
23251156,5,9
26804433,0,16
10584110,3,7
9999813,5,21
17863817,2,79
6687247,2,13
7490715,3,2
716696,1,48
17288156,2,12
29654625,1,90
130602,0,2
41149478,2,100
545913,3,89
25734194,3,5
11206,2,8
16295790,2,91
17347222,2,86
36240512,3,39
6562339,3,39
1566053,4,8
9790115,3,46
13034606,5,100
16083247,0,3
56067,4,15
2897258,2,18
44361,4,6
55352,0,16
13597879,4,82
15822336,0,9
16158592,2,69
15831550,5,2
11356211,4,96
24647866,3,6
23201410,1,5
18333656,3,45
13459010,3,93
12810834,2,7
96642,5,15
428042,1,64
4567115,5,38
7588,5,6
19364719,1,20
13449283,0,8
8167094,2,17
40627195,0,7
13414764,5,31
596260,4,18
375901,3,4
9495160,4,86
16168688,0,99
116020,0,63
5976135,5,8
18400078,4,18
6294228,0,64
6929931,5,20
22917320,0,4
30090925,4,0
19156898,1,1
2964277,1,72
22691308,2,7
22792008,4,17
17285384,0,20
9529956,3,51
6340016,3,55
21898304,4,37
768496,2,26
40682120,0,13
89208,2,11
15733738,1,95
22836575,4,13
263179,4,11
17471114,5,57
18286402,3,47
19279000,5,26
15832231,3,8
18938098,4,42
27220482,3,12
36560993,0,11
38746239,3,15
15778414,3,87
6337530,3,36
2281,3,14
28114583,2,39
3920088,5,13
18815422,2,49
13635790,4,86
23362210,2,17
17974995,4,0
23493101,4,35
34728925,4,74
2769817,1,76
9541850,0,15
5287473,0,97
16121427,0,16
3398701,5,47
15760499,1,10
353342,4,13
2512103,2,7
553475,5,4
160848,1,64
14759319,3,99
17934503,5,12
18880706,4,37
5585365,4,18
40032681,2,15
6766006,0,64
30040765,0,100
25279809,2,37
36494518,1,1
30528535,2,6
445623,2,14
18273744,2,18
13529900,0,0
17171909,4,8
570736,5,18
13479780,3,16
18214414,4,14
311034,2,14
259836,5,11
23588008,0,19
9677446,3,4
23338387,0,31
94079,2,44
38167114,5,9
7877549,1,96
32935069,0,85
13539044,1,87
474078,3,60
8887374,5,21
42768666,2,17
15793584,3,81
5603414,0,98
1311355,5,58
17261129,0,37
248482,3,86
6930002,2,15
16101018,5,8
7312874,2,3
505983,3,82
2255607,1,49
180617,4,2
20758175,1,99
31393676,1,20
406084,4,5
18427593,3,21
14743412,4,15
10504222,4,13
5071434,0,99
39328640,2,51
11099063,4,2
39940311,5,56
9498555,5,84
41536,3,93
24520,4,43
31686145,2,4
28700,3,79
160939,1,89
18775327,5,14
237117,0,66
111044,0,12
36249638,5,72
22080473,4,81
43427470,1,12
252917,1,53
35525010,0,55
34209372,4,14
6574084,5,73
30919,0,2
369110,2,59
7497552,3,11
39907467,4,17
43549952,3,5
22005734,1,84
235349,3,5
9444,3,57
17839590,2,43
20299683,4,50
32935069,0,87
8800489,4,17
2847610,5,90
11313669,3,73
9415946,0,4
36111620,0,94
26213995,4,58
32969701,2,61
25398528,3,38
20891547,4,15
10680329,3,6
10218,1,86
29537831,0,15
15989598,2,11
25510924,3,39
6521368,4,14
17569778,0,10
22877450,0,76
18901156,3,50
1189878,3,78
50725,4,15
18405519,5,7
32337167,5,7
30365409,1,19
39980,5,7
12993856,5,95
723625,1,5
24157347,5,40
15803141,1,7
21480858,1,52
15716344,1,90
231914,1,86
22057396,1,17
18232495,0,68
139867,4,20
11594414,2,5
16120137,0,26
18281991,0,24
28496524,4,11
425374,3,36
16117368,3,72
674181,5,58
